to	~쪽으로, ~에게
obey	따르다
occupy	(장소 등을) 차지하다
omit	생략하다
overtake	따라붙다
preform	실행하다
ponder	숙고하다
predict	예언하다
proclaim	선언하다
purchase	구입하다
quit	그만두다
recede	후퇴하다
refuse	거절하다
repel	격퇴(반발)하다
represent	나타내다
resemble -	을 닮다
restrain	억제하다
reveal	나타내다
shift	옮기다
submit	제출하다
support	지지하다
suppress	제압하다
surrender	항복하다
tremble	떨다
violate	(법률을)어기다
withstand	저항하다, 참다
yearn	열망하다
abstract	추상적인
adolescent	청년기의
alien	외국의
antarctic	남극의
artificial	인공의
barren	불모의
boring	지루한
celebrated	유명한
colloquial	구어의
competent	유능한
complicated	복잡한
cruel	무자비한
definite	명확한
disgusting	매우 싫은
domestic	국내(가정)의
dubious	의심스러운
essential	본질적인, 필수의
expensive	값비싼
familiar	친한
filthy	더러운
fortunate	행운의
futile	쓸모 없는
genetic	유전의
guilty	유죄의
haughty	거만한
ignoble	천한
incredible	믿을 수 없는
indispensable	절대 필요한
inferior -	보다 열등한
innate	타고난
intolerable	참을 수 없는
invisible	눈에 보이지 않는
irrelevant	부적절한
legal	합법적인
material	물질적인
mature	성숙한
minor	소수의
modern	현대의
moral	도덕적인
normal	정상의
objective	객관적인
obscure	모호한
obvious	분명한
odd	홀수의
ordinary	보통의
partial	불공평한
perfect	완전한
perpendicular	수직의
pervasive	퍼지는
polite	예의바른
postwar	전후의
primitive	원시적인
probable	있을 법한
progressive	진보적인
public	공적인
rational	합리적인
reckless	무모한
relative	비교적인
rural	시골(전원)의
scanty	빈약한, 결핍된
separable	분리할 수 있는
shrewd	현명한
significant	중요한
sophisticated	교양이 있는
strict	엄격한
subjective	주관적인
sufficient	충분한
superficial	표면의, 천박한
tame	길들여진(이다)
tender	부드러운
thin	얇은
transient	일시적인
urban	도시의
valid	유효한
vertical	수직의
whimsical	변덕스러운
wistful	탐내는, 생각에 잠긴
wholesome	건전한, 유익한
ancestor	선조
ceremony	의식(행사)
consensus	(의견의 )일치
convenience	편리, 편의
dawn	새벽
defect	결점, 결함
degree	정도
descent	하강, 가계
disaster	재해
dominion	지배
eccentricity	별남, 기발
emigration	이주, 이민
evaluation	평가
fortnight 2	주간
incentive	동기
interior	내부(의)
lack	부족
liquid	액체
male	남성의
maximum	최대의
merit	장점
nephew	조카
obligation	의무
occupation	직업
ornament	장식(품)(하다)
pessimism	비관주의
predecessor	선배
prologue	서언, 머리말
prosecution	기소
range	범위
revenue	세입, 수익
ridicule	조소(하다)
synonym	동의어
theory	이론
thrift	검소, 검약
trend	경향
virtue	미덕
zeal	열심, 열중
wreck	난파(하다)
synthesize	종합하다
dispute	토론하다, 다투다
quote	인용하다
disperse	분산(발산)하다
lay off	해고하다
inhibit	억제하다
hand in	제출하다
quiver	떨다
juvenile	청년기의
fertile	기름진, 비옥한
ruthless	무자비한
hereditary	세습의, 유전의
inherent	타고난, 고유의
vague	모호한
even	짝수의
prevalent	유행하는, 퍼지는
horizontal	수평선의
demerit	결점, 단점
antonym	반의어, 반대말
epilogue	끝 맺음말
descendant	자손
whim	변덕, 일시적 기분
abound in	풍부하다
absorbed in -	에 빠져있는
abstain from	삼가다
accompany	동반하다
accord with -	와 일치하다
accuse	고발하다
accustomed to -	에 익숙한
acquainted with -	을 알고있는
adhere to	집착하다
afford to do	여유가 있다
ally	동맹시키다
apologize	사죄하다
apply	적용하다
ascribe	탓으로 돌리다
avail oneself of	이용하다
avoid	피하다
bestow	주다, 수여하다
beware of -	에 주의하다
charge	고발하다
cling to -	에 달라붙다
concentrate on	집중하다
consent to -	에 동의하다
consist in -	에 있다
consist of -	로 구성되다
consist with -	와 일치하다
consult	상담하다
contend with(against)	다투다
contribute to	공헌하다
cooperate with -	와 협력하다
cope with	처리하다
correspond with	펜팔 하다
correspond to -	와 일치하다
deprive	빼앗다
derive from -	에 유래하다
devote	바치다
differ from -	과 다르다
disappoint	실망시키다
discuss	의논하다
dispense with -	없이 지내다
dispose of -	을 처분하다
dissent from -	에 반대하다
distinguish	구별하다
dwell in -	에 살다
dye	물들이다
enforce	강제하다
entitle	자격을 주다
equip	갖추어 주다
exchange	교환하다
flatter	아첨하다
forbid	금지하다
forgive	용서하다
forsake	(습관을)버리다
furnish	공급하다
grateful	감사하고 있는
impose	부과(강요)하다
inclined to do	경향이 있는
indulge in -	에 빠지다
inflict	(벌을) 과하다
inform	알리다
inquire after	병 문안하다
inquire for	묻다
interfere with	방해하다
intrude into -	에 밀어 넣다
justify	정당화하다
laden with -	을 쌓아둔
mention	간단히 말하다
occupied in -	에 종사하는
owe	빚이 있다
partake in	참가하다
participate in	참여하다
persist in	고집하다
persuade	설득하다
possessed by(with) -	에 홀린
possessed of	소유하고 있는
prefer	더 좋아하다
preoccupied with	골몰한
presume	추정하다
provide	공급하다
reap	베다, 거두다
reckon	계산하다, 여기다
recognize	인정하다
reduce	줄이다
refer to	언급하다
refrain from	삼가다
regard	간주하다
with regard to	관하여
without regard to	무시하고
rely on	의존하다
replace	바꾸다
respond to	반응하다
revenge	복수하다
satisfy	만족시키다
steal	훔치다
submit	제출하다
submit to	복종하다
substitute	대리(대신)하다
succeed in	성공하다
succeed to	계승하다
suggest	제안하다
surrender to	항복하다
sympathize with	동정하다
transact with	거래하다
trespass on	침입하다
yearn for	동경하다
yield to	굴복하다
akin to	유사한
on the alert	경계하여
alien	외국의
aloof	떨어진, 멀어진
anxious about	걱정하는
anxious for	열망하는
apt to do	경향이 있는
ashamed of	부끄러워하는
aware of	알아차린
capable of	할 수 있는
certain	확신한
compatible with	양립할 수 있는
contrary to -	에 반하여
convenient	편리한
destitute of -	없는, 결핍한
devoid of -	이 결여된
due to do	예정이다
due to	(명) 때문에
equal to -	에 동등한
essential to -	에 필수적인
except for -	을 제외하고
famous for -	로 유명한
fertile	비옥한
frank	솔직한
indifferent to -	에 무관심한
intense	강렬한
intent on	몰두하는
lean against(on)	기대다
in particular	특별히
previous to -	에 앞서서
reluctant to do	마음이 없는
responsible for	책임을 지다
similar to -	을 닮다
weary of -	에 질린
weary with -	에 지친
as a whole	전체로서
on the whole	대략
in addition to -	에 더하여
take advantage of	이용하다
agent	대리인
make allowance for	고려하다
appeal to	호소하다
approach	접근하다
attribute	탓으로 돌리다
on the average	평균하여
in behalf of	대신하여
bent on	열중하고 있는
contempt	경멸
contented with	만족한
cure	치료하다
by degrees	서서히
despair of	절망하다
in detail	자세히
dignity	위엄
doomed to do	운명지어진
off(on) duty	비번(당번)으로
esteem	존경하다
to excess	과도하게
expense	비용, 지출
fancy	공상(하다)
find fault with	트집잡다
ask a favor of	부탁하다
in favor of	찬성하여
figure out	계산(이해)하다
fowl	새
guarantee	보증(하다)
do harm	해를 주다
in haste	서둘러서
justice	정의
for lack of	부족하여
at liberty	자유롭게
at a loss	난처하여
by all means	반드시
by means of -	에 의하여
prey on	잡아먹다, 괴롭히다
proof against	견딜 수 있는
reign	통치하다
relevance	관련, 적절
share	공유하다
by stealth	은밀히
in succession	연속하여
lose one's temper	화내다
on good terms with	사이 좋은
in token of -	의 표시로
trifle with	적당히 다루다
come to terms	화해하다
victim	희생자
by virtue of -	의 힘으로
bear witness to	증언하다
thirst for	갈망하다
side with	편이 되다
in reference to	관하여
a man of means	자산가
in addition to	더하여
put on airs	거드름 피우다
extracurricular	과외의, 일과 이외의
unreasonable	불합리한, 비이성적인
inconsistent	모순된
considerable	중요한, 상당한
carbohydrate	탄수화물
authorities	당국, 공사
relationship	관계, 친척관계
requirement	요구, 필요
devoted oneself	헌신하다, ~에 전념하다
exaggerate	과장하다
deliberate	신중한, 사려 깊은
be content with	~에 만족하다
comprehend	이해하다, 포함하다
extinction	소화, 종식
definitely	분명하게, 명확하게
traditional	전통적인
attractive	마음을 끄는, 매력적인
regardless	관심없는, 하여간
creativity	창의성, 독창성
figurative	상징적인
comfortable	편안한
acceptance	수납, 용인
excessive	과도한, 극단의
irregular	불규칙한
abundance	풍부함
reluctant	싫어하는, 내키지 않는
spreading	펴져 있는, 뻗은
essential	본질적인, 필수적인
pronounce	발음하다, 표명하다
tradition	전통, 전설
entertain	즐겁게 하다, 대접하다
reception	수령, 환영회
pollution	오염, 공해
politician	정치가
voluntary	자발적인, 임의의
formation	형성, 조립
desirable	바람직한, 호감이 가는
customary	습관적인, 통례의
priceless	아주 귀중한
insistent	강요하는, 뚜렷한
communication	통신, 보도
recognize	인정하다, 인지하다
concentration	집중, 농축
relevant	관련 있는
insufficient	불충분한, 부족한
immature	미숙한
in turns	차례로, 번갈아
conventional	전통적인, 틀에 박힌
available	쓸모 있는, 유효한
arrogant	거만한, 거드름 부리는
gorgeous	호화스러운, 멋진
escalate	차츰 오르다
numerous	다수의, 무수한
responsibility	책임
adequate	적당한, 적절한
pronunciation	발음(법, 기호)
flawless	흠 없는, 완벽한
direction	방향
confident	확신하고 있는
principal	주요한, 우두머리
accurate	정확한
exchange	교환(물)
for instance	이를테면
quantity	양
condense	응축하다, 요약하다
talented	재능있는, 유능한
catastrophe	참사, 재앙
backbone	등뼈, 산맥
contrast	대조, 대비(하다)
distinction	구별, 차이
preserve	보호하다, 보존하다
temperature	온도, 체온
imminent	절박한
furious	노하여 날뛰는, 맹렬한
workshop	작업장, 연수회
totally	전적으로, 완전히
mention	언급하다
association	협회, 연합
register	등록(하다)
deposit	맡기다, 예금하다
ambition	야망
toenail	발톱
psychologist	심리학자
advancement	진보, 승진
assembly	집회, 조립
context	문맥, 전후 관계
unbelievable	믿기 힘든
flooded	몰에 잠긴, 침수된
in fact	사실은
deserve	~할 만하다
discuss	검토하다
confirm	확인하다
process	진행, 처리하다
orderly	차례로 된, 정돈의
distant	먼
succeed	성공하다, 계승하다
continuous	계속적인
incredible	놀라운, 믿을 수 없는
hurtful	고통을 주는, 유해한
remarkable	두드러진, 현저한
payment	지불, 보수
confide	신임하다
observation	관찰, 관측
average	보통의
tremble	진동(하다), 흔들리다
curricular	교과 과정의
originality	진짜임, 독창력
compare	비교하다, 비유하다
adolescent	청년기의, 사춘기의
by request	요청에 따라
by mistake	실수로
connection	관계, 연결
neutral	중립의, 중립국
neglect	무시, 간과(하다)
supporting	지지하는
symptom	징후, 증상
succession	연속, 계승
compass	나침반, 범위
illegal	불법의, 불법입국자
accomplish	이루다, 달하다
quality	질(좋은), 우수성
forgive	용서하다, 면제하다
contest	경쟁, 다툼(하다)
pretend	~인 체하다
replace	제 자리에 놓다, 대신하다
permission	허가
laboratory	실험실, 연구소(의)
theater	극장, 극단
attract	끌다, 매혹하다
apology	사과, 변명
frugal	절약하는, 간소한
mortal	치명적인, 죽음에 이르는
polish	갈아 닦다, 광내다
generosity	관대함, 친절
disregard	무시하다, 소홀히 하다
funeral	장례식(의)
logical	논리상의, 필연적인
qualified	자격이 있는, 적격의
proceed	나아가다
undermine	훼손하다, ~의 밑을 파다
dialect	사투리
integrate	통합하다, 완전하게 하다
modify	수정하다, 변경하다
statue	상
require	요구하다
refuse	거절하다
in person	자기 스스로, 본인이 직접
extension	넓힘, 연장
regarding	~에 대해서는
endurance	지구력, 인내
faulty	결점이 있는, 그릇된
voyage	항해, 여행
nutrition	영양물, 자양
physician	내과의사
sanctuary	성역
organized	조직화된, 체계화된
animation	생기, 만화영화
arrest	체포하다
cavity	움푹한 곳, 충치
hatred	미움, 혐오
appreciate	고맙게 생각하다, 감상하다
tablet	정제
technical	기술의, 숙달된
globalism	세계적 규모화
repair	고치다
quarterly	일년에 네 번 발생하는
attention	주의, 배려
compromise	타협(하다)
routinize	규칙화하다, 관례화하다
belief	믿음, 신뢰
promotion	승진, 판촉
sitcom	시트콤
attach	붙이다, 가입시키다
fierce	흉포한, 격렬한
square	정사각형(의), 공정한
courteous	예의바른, 친절한
uphold	받치다, 지지하다
breast	가슴, 젖주다
endure	견디다
charge	장전, 청구하다
debate	토론, 논쟁(하다)
invade	침해하다, 습격하다
reference	위탁, 참조
flavor	맛(을 내다), 풍미(를 더하다)
retire	은퇴하다, 물러가다
frustrate	좌절시키다, 무효로 하다
copper	구리(의), 구리를 입히다
starve	굶주리다, 갈망하다
cowardly	겁쟁이의, 비겁한
pleasant	기분좋은, 유쾌한
opponent	적, 적수
female	여성(의)
pay attention to	~에 주의를 기울이다
supply and demand	공급과 수요
statement	표현, 진술
directory	지휘의, 전화번호부
classify	분류하다, 등급을 나누다
autograph	자필서명(의)(하다)
breath	호흡
refund	환불, 상환(하다)
alienate	멀리하다, 양도하다
revise	개정하다
intend	의도하다
character	특성, 문자, 기호
translate	번역하다
advertise	광고하다
existent	실재하는
scared	겁먹은
reserved	수줍은, 보류한
attend	출석하다, 주의하다
create	창조하다
revision	개정, 수정(판)
desire	요구, 갈망(하다)
deserted	사람이 살지 않는, 황폐한
refer to	~을 언급하다
favorite	마음에 드는, 좋아하는 것
merit	장점, 공적
supplier	공급자
harsh	거친, 엄한
blend	섞다, 혼합하다
obstacle	장애, 방해(물)
vapor	증기, 망상
crude	천연 그대로의, 조잡한
legal	합법적인, 법률상의
state	말하다, 진술하다
usual	보통의, 일반적인
bless	축복하다
fancy	공상, 상상(의)(하다)
treasure	보물, 소중히 하다
nutrient	영양소(의), 자양이 많은
prudent	조심성 있는, 분별 있는
obscure	분명치 않은, 불명료한
conflict	투쟁, 충돌(하다)
deceive	속이다, 기만하다
applaud	박수치다, 칭찬하다
negative	부정(의)
corrupt	타락시키다, 부패시키다
cruel	잔혹한, 지독한
immense	거대한, 광대한
flour	밀가루, 가루로 빻다
annoy	성가시게 굴다, 괴롭히다
pastoral	전원생활(의)
tight	빈틈 없는, 단단한
specific	명확한, 특성
robbery	강도, 약탈
issue	발행(하다), 논쟁점
slave	노예(의)
widower	홀아비
shore	물가, 해안
widow	미망인(이 되게 하다)
equip	준비하다, 장비하다
landmark	경계표
trash	쓰레기
capital	수도
element	원소, 성분
rough	거친, 거칠게(다루다)
erase	지우다
trunk	트렁크, 간선의
sweat	땀(흘리다), 노동(하다)
queue	줄(서다)
expense	비용
greed	탐욕
paste	풀, 붙이다
produce	생산하다
swing	흔들다, 스윙
propose	제안하다
self-confident	자부심의
idiom	관용구, 숙어
be engaged in	~에 종사하다
leading	이끄는, 지도
depth	깊이, 중대함
offer	제공, 제안(하다)
crazy	미친, 괴짜
release	풀어놓다, 공개(하다)
guess	추측(하다)
order	명령, 주문(하다)
journey	여행, 행로
worth	~할만한, 가치
trivial	사소한, 평범한
violent	격렬한, 폭력적인
article	기사, 품목
survive	생존하다
reserve	보존하다, 보존, 예비의
regard A as B	A를 B로 간주하다
nowhere	미지의 장소, 아무 데도~없는
unusual	비범한
uncomfortable	거북한, 불편한
request	요청(하다)
lose the game	경기에서 지다
receipt	영수(증)
pay attention	주의하다, 집중하다
monster	괴물, 거대한
launch	진수, 발진
quarter	4분의 1(의)
confuse	혼동하다, 혼동시키다
oversea	해외의, 해외로
patient	환자, 참고 견디는
respond	반응하다
suicide	자살(하다)
treaty	조약, 맹약
barren	불모의
routine	일상의(일)
reject	거절하다, 거부하다
thrift	절약, 검약
merely	그저, 단지
hero	주인공, 주요 인물
branch	가지
forbid	금하다, 방해하다
shadow	그림자, 암시
poet	시인
vast	광활한, 넓은
logics	논리학
origin	기원, 유래
entertainment	환대, 오락, 연예
wise	현명한, 슬기로운
notify	통지하다, 신고하다
manage	그럭저럭 해 나가다
effect	결과, 영향
revive	부활하다
ride	타다, 승마, 승차
acknowledge	인정하다, 감사하다
prestigious	이름 난, 세상에 알려진
flea	벼룩, 귀찮은 녀석
feeble	연약한, 희미한
affirmative	긍정의, 단정적인
transparent	투명한, 비치어 보이는
maze	미로, 당황
settle down	정착하다, 가라앉다
priest	성직자(로 만들다)
recite	암송하다, 말하다
unique	독특한, 훌륭한(것)
spectacular	구경거리의, 눈부신
formal	형식적인, 정식의
degree	정도, 등급
weed	잡초(를 뽑다)
aspire	열망하다, 동경하다
assign	할당하다, 지정하다
reward	보상(하다), 현상금
cure	치료(하다), 치료제
export	수출(의)(하다)
firm	굳은, 단단히, 회사(법률사무소)
organization	조직, 구성, 협회
carton	판지상자(에 넣다)
sensibility	감각력, 감수성
script	필적, 대본, 대본을 쓰다
peer	동료, 응시하다
fair	공정한, 아름다운, 박람회
hate	증오(하다)
wrap	싸다, 포장지
planet	행성
effort	노력
bite	물다, 한 입
achievement	업적, 성공
notice	주의(하다)
principally	주로, 대개
bright	빛나는
consequence	결과, 중요성
proper	고유의
talent	재능
consist of	~로 구성되다
appropriate	충당하다, 적당한
give birth	낳다
infer	추론하다, 암시하다
react	반응하다, 응답하다
impediment	방해, 지장
provincial	한 지방의, 편협한
frustrated	실망한, 욕구불만의
nerve	신경, 담력
popularity	인기, 유행
manuscript	원고, 육필의
blank	공백의
board	판자, 타다
unfamiliar	낯선, 생소한
depression	억압, 불황
preference	더 좋아함, 우선권
communicate	통신하다
showy	눈에 띄는, 화려한
invitation	초대
charm	매력, 매혹하다
vowel	모음(의)
sting	찌르다, 찌름
awake	눈뜨다, 정신차린
drain	배수(하다), 빼앗다
transplant	이식, 이주(하다)
worse	더욱 나쁜, 더욱 나쁘게
immigrate	이주하다, 이민오다
piety	경건, 신앙심
vomit	구토, 분출(하다)
weightless	무게가 없는, 무중력의
shade	그늘(지게 하다), 차단하다
canal	운하(만들다), 만
flood	범람(하다), 넘치다
commercial	광고방송(의), 상업상의
float	뜨다, 부유물
smart	재빠른, 영리한
execution	실행, 사형집행
elementary	기초의, 초등의
clone	생명복제(하다)
brief	간결한, 적요, 요약하다
originate	일어나다, 기원하다
journalist	언론인
draft	초안, 징병(하다)
signature	서명
discourage	낙담하다, 낙담시키다
secretary	비서, 장관
encourage	용기를 북돋우다
influence	영향을 미치다
throughout	온통, ~내내
efficient	능률적인, 유효한
influenza	유행성 감기
evaporate	증발하다, 사라지다
emergency	비상사태, 긴급한
pass away	떠나다, 죽다
encircle	둘러 싸다, 일주하다
mild	상냥한, 순한
abundant	풍족한, 많은
copyright	저작권(의)(으로 보호하다)
maintain	유지하다, 부양하다
commonly	일반적으로
abnormal	비정상적인, 예외적인
meditate	묵상하다, 명상하다
addicted	중독된
in order	정리가 된, 정상인
slim	날씬한
courtesy	예의, 공손
miserable	불쌍한(사람)
invasion	침입, 침해
bend	구부리다, 숙이다
technique	기교, 기술
nauseous	구역질나는, 불쾌한
hug	포옹(하다)
starfish	불가사리
tear	찢다
associate	연상, 관련(하다)
otherwise	그렇지 않으면
pay	지불(하다)
situation	위치
task	임무, 과제
response	응답, 반응
creature	창조물, 생물
decision	결정, 결단력
politics	정치, 정치학
reviewal	재검토, 평론
cast	던지다, 배정하다
vain	공허한, 허영심 많은
bald	대머리의, 단조로운
definite	한정된, 명확한
lazy	게으른, 굼뜬
bury	매장하다
soil	흙, 대지
apparent	뚜렷한, 명백한
deadline	마감시간
vertical	수직의, 수직선
hell	지옥
dispute	논쟁, 분쟁
ceremony	의식(행사)
violence	폭력, 맹렬
yell	소리치다, 외침
certify	증명하다, 인증하다
rude	버릇없는
back up	후원하다, 지지하다
present	현재, 선물
lunatic	미친, 정신병자
meaning	의미, 취지
inhibit	억제하다, 금하다
decrease	감소(하다)
form	형성(하다)
hurt	상처, 고통(주다)
qualify	~에게 자격을 부여하다
possess	소유하다, 점유하다
exclaim	외치다, 소리지르다
journal	정기 간행물
terrify	겁나게 하다
specify	열거하다, 상술하다
painful	아픈, 고통주는
garment	의복
kingdom	왕국, 왕정
prevent	막다, 예방하다
charity	박애, 자비
outline	윤곽, 개요(를 잡다)
account	기술, 거래, 설명하다
nervous	신경질적인, 불안한
decline	쇠퇴(하다), 거절하다
stomach	위, 배
brutal	잔인한, 야만의
innate	타고난, 천부의
besides	~외에도, 게다가
express	표현하다, 명확한, 급행(의)
include	포함하다
arrange	배열하다, 조정하다
dim	어둑한, 흐릿한
depress	낙담시키다
secure	안전한, 안정된
assume	추정하다, 가정하다
tariff	관세
suggest	제안하다
vacate	비우다, 사직하다
worsen	더 악화시키다, 더 나쁘게 하다
emerge	나타나다, 빠져나오다
eraser	지우개
locate	~의 위치를 정하다
margin	여백, 가장자리
relate	이야기하다, 관련시키다
wander	헤매다
abroad	해외로
differ	다르다, 달리하다
tumble	재주넘다, 전도
row	열, 노젓기, 노젓다
stripe	줄무늬, 종류
fur	모피
powder	가루, 분말(로 만들다)
regard	응시, 간주(하다)
vacant	빈, 멍한
sudden	돌연한, 별안간의
odd	이상한, 홀수의
valley	골짜기, 계곡
orphan	고아(로 만들다), 부모가 없는
rhythm	리듬, 율동
muscle	근육
empire	제국, 절대 지배권
client	의뢰인, 단골
tap	가볍게 두드리다, 마개
shy	수줍은, 부족한
starry	별이 많은, 별 같이 빛나는
temple	절, 사원
ash	재(뿌리다)
normal	표준, 정상(의)
dot	점(찍다)
tender	연한, 부드럽게 하다
common	공통의, 보통의
secret	비밀(의)
desert	사막(같은), 버리다
survey	전망, 조사(하다)
recent	최근의
decide	결심하다
figure	형태, 계산하다
seldom	드물게
accept	받아들이다
sweep	쓸다, 일소하다
twist	꼬다, 비틀다
blunt	무딘, 둔감한
sight	시각, 볼거리
value	가치
media	medium의 복수형
bunch	송이, 다발
curse	저주, 재앙(하다)
stump	그루터기
fiber	섬유, 근성
layer	층(을 만들다)
trick	속임수(의)(하다)
timid	겁 많은, 소심한
empty	빈, 비우다
frail	깨지기 쉬운
trust	신임, 신뢰(하다)
favor	호의, 친절(하다)
heap	쌓아 올리다, 축적하다
jury	배심, 배심원
mill	제조공장, 제분소
loss	손해
lack	부족하다
ruin	파멸, 멸망(시키다)
moth	나방
claw	발톱(으로 할퀴다)
wage	임금, 유지하다
deck	갑판(을 대다)
sigh	한숨(쉬다), 탄식(하다)
palm	손바닥
flaw	흠(잡다), 결함, 무효화하다
text	원문, 주제
melt	녹다, 녹이다
cart	짐수레, 손수레
curl	곱슬(거리게 하다)
site	대지, 현장
cave	동굴
neat	산뜻한, 교묘한
hire	고용(하다)
huge	거대한
cane	지팡이, 매질하다
aid	도움, 원조
tow	끌다, 끌어당기다
fog	안개
tin	주석(의)
tip	끝, 팁(을 주다)
sew	바느질하다, 꿰매 맞추다
capture	포획, 생포(하다)
profession	전문직
pay back	되갚다
skip	건너뛰다, 건너뜀
cope with	견디어 내다
animate	생기를 불어 넣다, 생기 있는
define	정의를 내리다, 한정하다
mean	야비한, 의미하다
distinguish	구별하다, 구분하다
praise	칭찬, 찬미(하다)
within reach of	~의 손이 닿는 곳에
deadly	치명적인, 죽은 듯이
contend	싸우다, 항쟁하다
aboard	탑승하여, 타고
tighten	죄다, 팽팽하게 하다
thumb	엄지손가락
share	몫, 주식, 공유하다
possession	소유, 소유물
rinse	헹구다, 헹굼
milestone	이정표, 획기적 사건
chop	자르다, 찍다
incident	사건
wire	전선, 배선하다
rarely	드물게
audience	청중, 관객
drainage	배수(설비), 하수
robber	강도, 약탈자
replace A with B	A를 B로 대체하다
religion	종교, 신조
example	예, 보기
doubt	의심, 불신(하다)
injury	상해, 손상
believe	믿다, 신뢰하다
fact	사실, 진상
rare	드문
terrific	굉장한, 무서운
dense	빽빽한, 짙은
shortcoming	단점
connect	연결하다
performance	실행, 연기
clown	광대(짓하다)
scarce	부족한, 진귀한
poetry	시, 시집
horizen	지평선, 수평선
at one's desire	희망대로
sensibly	현저히, 분별 있게
stamp	날인(하다), 우표
make up	구성하다, 화장하다
fantastic	공상적인, 멋진
be filled with	~로 가득 차다
apart	별개로
ask for	요구하다
blessing	은총
design	디자인, 기획(하다)
calculate	계산하다, 추정하다
jewelry	보석류
consistent	일치한, 견실한
frighten	놀라게 하다
workplace	일터, 작업장
excuse	변명, 사과(하다)
extraordinary	특별한, 비범한
cooperate	협력하다, 협동하다
more or less	다소, 얼마간
sincere	성실한, 진실의
doublt	의심
honesty	정직
factory	공장
architect	건축가, 설계자
deceased	사망한, 고인의
foster	돌보다, 애정을 주는
sorrow	슬픔, 슬퍼하다
blossom	꽃(피다), 만발(하다)
insist	고집하다, 주장하다
impression	인상, 감상
fable	우화, 신화
equipment	준비, 장치
bead	구슬(장식하다)
describe	묘사하다
herb	허브, 식용 식물
shrink	줄어들다, 겁내다
merchant	상인, 상업의
agitate	휘젓다, 선동하다
executive	행정부(적인), 관리직(의)
flexible	구부리기 쉬운, 융통성 있는
grain	곡류
foolish	어리석은, 창피한
aerobic	호기성의, 에어로빅스의
relation	관련, 진술
surface	표면(의)
orphanage	고아원, 고아임
norm	표준, 규범
ban	금지(하다)
aspiration	포부, 열망
disaster	재앙, 재난
impartial	공평한, 편견이 없는
convert	변화하다, 귀의자
spread	펴다, 유포
hinder	방해하다, 뒤의
immediate	즉각의, 인접한
wizard	마법사, 마법의
daybreak	새벽
clap	박수(치다)
thrifty	검약하는, 무성한
stick	붙다, 찌르다, 막대기
generous	관대한, 풍부한
knight	기사, 기사작위를 주다
regional	지역의, 지방의
exist	존재하다, 생존하다
informal	비공식적인, 약식의
compact	소형의, 간결하게 하다, 콤팩트
tame	길들인, 길들이다
ashore	해안에, 육상에
dull	둔한, 둔하게 하다
horizontal	가로의, 수평의
indeed	정말로, 실은
envious	시기심이 강한, 질투하는
protein	단백질(의)
situate	위치를 정하다, 놓다
vow	맹세, 공약(하다)
indict	기소하다, 나무라다
evil	사악(한)
glimmer	희미한 빛
satisfy	만족시키다, 충분하다
prevention	저지, 예방법
smooth	매끄러운, 평탄하게 하다, 평지
direct	지도하다, 가리키다
appeal	애원, 호소(하다)
flat	평평한, 평면
neutralize	중립으로 하다, 중성으로 하다
upset	전복(시키다), 엉망인
savor	풍미, 흥미
fright	공포, 경악
rotate	회전하다, 교체하다
popular	인기 있는, 대중적인
lunar	달의, 태음의
youth	젊음, 청년
species	종, 인류
utilize	이용하다
ancient	옛날의, 오래된
astronomy	천문학
curve	구부리다
structure	구조, 구성(하다)
cause	원인, 이유(이 되다)
location	위치, 야외 촬영지
bold	대담한, 굵은
Venus	비너스, 화성
exhibition	전람, 공개
attraction	끌어당김, 매력
honor	명예, 존경하다
rational	이성적인, 분별있는
successful	성공한
luxurious	사치한, 호화스러운
suppose	추측하다
ethical	도덕적인, 윤리상의
supply	공급(하다)
tale	이야기
constant	일정한
creative	창조적인
correct	옳은, 고치다
superior	뛰어난, 보다 나은
rub	문지르다, 마찰
architecture	건축술, 건축학
broadcast	방송하다
in favor of	~에 찬성하여
fringe	가장자리, 변두리
astonish	깜짝 놀라게 하다
insurance	보험
attempt	시도(하다)
successive	계속적인, 연속하는
loud	시끄러운, 큰소리로
boundary	경계, 한계
rise	상승(하다)
term	용어, 기간
relax	늦추다, 풀리다
momentary	잠시의, 덧없는
passive	수동적인
feast	축제, 향연
exhibit	전시(하다)
honorable	존경할 만한, 고귀한
distance	거리, 간격
assemble	모으다, 조립하다
product	생산품
in excuse of	~의 변명으로서
temperate	절제하는, 온건한
although	~이기는 하지만
stretch	넓히다, 늘이다
advanced	진보한
review	평론(하다)
terror	공포, 두려움
amount	금액이 ~되다, 총액
consumption	소비
effective	유효한
enemy	적
concentrate	집중하다
apologize	사과하다, 사죄하다
show	보여주다, 쇼
dictator	독재자
medium	중간, 중간의
intention	의지, 목적
proud	자랑하는
moderate	적당한, 보통의
cope	맞서다
active	활동적인, 적극적인
demand	요구, 청구(하다)
clumsy	눈치 없는, 서투른
perform	수행하다
rent	임대하다
achieve	이루다
opinion	주장
monstrous	괴기한, 괴물같은
lavish	아끼지 않는, 사치스러운
promote	장려하다
astonishing	놀라운, 눈부신
instance	예, 보기(를 들다)
fantasy	상상, 공상문학 작품
custom	관습, 맞춤의
resist	반항하다, 저항하다
prefer	~을 더 좋아하다
regular	질서정연한, 보통의
extra	여분의, 특별한(것), 특별히
dead	죽은
legacy	유산, 유증
plow	쟁기, 갈다
consume	소비하다, 소모하다
familiar	익숙한, 친밀한
